Author: Geroge Orwell, Book Name: 1984, Publish Date: 1949
Author: Koushun Takami, Book Name: Battle Royal, Publish Date: 1999
Author: Some guy, Book Name: Hitch Hikers, Publish Date: 1980
Author: Ernest Cline, Book Name: Ready Player One, Publish Date: 2011
Author: Samantha Shannon, Book Name: The Priory of The Orange Tree, Publish Date: 2019
Author: Cory VMcAllister, Book Name: Book of Code, Publish Date: 2023
Author: Stephen Hawking, Book Name: A Brief History of Time, Publish Date: 1988
Author: TolKien, Book Name: The Lord of the Rings, Publish Date: 1954
Author: Thom James Carter, Book Name: They Come to Slay, Publish Date: 2022
Author: Pierce Brown, Book Name: Red Rising, Publish Date: 2014
Author: Derek Jarman, Book Name: A Portrait , Publish Date: 1996
Author: Kieran Jefferson, Book Name: Completed, Publish Date: 2024
Author: asd, Book Name: asd, Publish Date: asd
